Timestamp(ms),Current(uA),D0-D7
3710,19212.549,00000000
3720,19204.760,00000000
3730,19215.451,00000000
3740,19217.547,00000000
3750,19205.240,00000000
3760,19209.697,00000000
3770,19217.270,00000000
3780,19212.303,00000000
3790,19211.047,00000000
3800,19207.037,00000000
3810,19224.459,00000000
3820,19222.635,00000000
3830,19215.475,00000000
3840,19215.559,00000000
3850,19209.842,00000000
3860,19212.951,00000000
3870,19215.844,00000000
3880,19218.709,00000000
3890,19223.354,00000000
3900,19204.775,00000000
3910,19216.645,00000000
3920,19236.980,00000000
3930,19234.963,00000000
3940,19227.068,00000000
3950,19210.920,00000000
3960,19210.490,00000000
3970,19208.375,00000000
3980,19221.693,00000000
3990,19213.631,00000000
4000,19224.463,00000000
4010,19226.748,00000000
4020,19233.520,00000000
4030,19233.314,00000000
4040,19232.107,00000000
4050,19228.141,00000000
4060,19227.740,00000000
4070,19214.652,00000000
4080,19229.268,00000000
4090,19215.402,00000000
4100,19225.092,00000000
4110,19218.324,00000000
4120,19219.576,00000000
4130,19218.055,00000000
4140,19219.115,00000000
4150,19219.197,00000000
4160,19219.824,00000000
4170,19216.221,00000000
4180,19224.793,00000000
4190,19215.281,00000000
4200,19207.965,00000000
4210,19212.801,00000000
4220,19218.879,00000000
4230,19221.230,00000000
4240,19212.916,00000000
4250,19221.527,00000000
4260,19216.465,00000000
4270,19206.922,00000000
4280,19209.197,00000000
4290,19213.422,00000000
4300,19224.754,00000000
4310,19224.428,00000000
4320,19222.158,00000000
4330,19229.469,00000000
4340,19223.826,00000000
4350,19226.740,00000000
4360,19236.137,00000000
4370,19228.158,00000000
4380,19219.857,00000000
4390,19213.607,00000000
4400,19218.434,00000000
4410,19226.889,00000000
4420,19227.203,00000000
4430,19233.930,00000000
4440,19235.531,00000000
4450,19231.029,00000000
4460,19224.193,00000000
4470,19225.404,00000000
4480,19227.297,00000000
4490,19224.408,00000000
4500,19228.773,00000000
4510,19227.297,00000000
4520,19229.904,00000000
4530,19227.801,00000000
4540,19228.748,00000000
4550,19227.787,00000000
4560,19238.594,00000000
4570,19238.330,00000000
4580,19224.465,00000000
4590,19217.055,00000000
4600,19218.340,00000000
4610,19215.824,00000000
4620,19214.654,00000000
4630,19219.008,00000000
4640,19232.688,00000000
4650,19233.576,00000000
4660,19231.438,00000000
4670,19236.178,00000000
4680,19235.012,00000000
4690,19226.396,00000000
4700,19225.340,00000000
4710,19222.029,00000000
4720,19232.246,00000000
4730,19241.607,00000000
4740,19224.342,00000000
4750,19233.875,00000000
4760,19215.605,00000000
4770,19222.850,00000000
4780,19228.377,00000000
4790,19228.068,00000000
4800,19213.057,00000000
4810,19221.119,00000000
4820,19221.439,00000000
4830,19225.355,00000000
4840,19240.549,00000000
4850,19233.473,00000000
4860,19231.963,00000000
4870,19216.203,00000000
4880,19228.070,00000000
4890,19237.389,00000000
4900,19226.561,00000000
4910,19217.924,00000000
4920,19232.145,00000000
4930,19235.234,00000000
4940,19248.670,00000000
4950,19242.023,00000000
4960,19237.828,00000000
4970,19242.279,00000000
4980,19228.543,00000000
4990,19226.240,00000000
5000,19220.861,00000000
5010,19217.572,00000000
5020,19225.787,00000000
5030,19225.217,00000000
5040,19226.609,00000000
5050,19241.416,00000000
5060,19231.021,00000000
5070,19249.578,00000000
5080,19238.748,00000000
5090,19226.168,00000000
5100,19242.607,00000000
5110,19232.625,00000000
5120,19238.365,00000000
5130,19224.668,00000000
5140,19228.143,00000000
5150,19241.967,00000000
5160,19237.014,00000000
5170,19243.316,00000000
5180,19237.752,00000000
5190,19240.193,00000000
5200,19243.033,00000000
5210,19234.252,00000000
5220,19232.236,00000000
5230,19236.379,00000000
5240,19237.262,00000000
5250,19220.016,00000000
5260,19226.385,00000000
5270,19235.631,00000000
5280,19238.279,00000000
5290,19232.230,00000000
5300,19230.691,00000000
5310,19225.809,00000000
5320,19230.391,00000000
5330,19245.691,00000000
5340,19241.877,00000000
5350,19232.150,00000000
5360,19232.393,00000000
5370,19229.637,00000000
5380,19220.803,00000000
5390,19238.012,00000000
5400,19247.898,00000000
5410,19237.795,00000000
5420,19232.379,00000000
5430,19248.908,00000000
5440,19230.176,00000000
5450,19239.090,00000000
5460,19239.988,00000000
5470,19237.619,00000000
5480,19221.992,00000000
5490,19230.465,00000000
5500,19237.543,00000000
5510,19227.555,00000000
5520,19233.588,00000000
5530,19231.121,00000000
5540,19234.781,00000000
5550,19232.379,00000000
5560,19226.648,00000000
5570,19232.521,00000000
5580,19240.105,00000000
5590,19235.996,00000000
5600,19233.947,00000000
5610,19227.574,00000000
5620,19239.818,00000000
5630,19232.102,00000000
5640,19238.949,00000000
5650,19254.900,00000000
5660,19240.418,00000000
5670,19243.027,00000000
5680,19249.203,00000000
5690,19239.604,00000000
5700,19239.801,00000000
5710,19247.594,00000000
5720,19239.381,00000000
5730,19237.533,00000000
5740,19235.490,00000000
5750,19234.127,00000000
5760,19241.771,00000000
5770,19246.400,00000000
5780,19224.963,00000000
5790,19236.363,00000000
5800,19237.697,00000000
5810,19237.096,00000000
5820,19238.744,00000000
5830,19229.352,00000000
5840,19224.369,00000000
5850,19238.109,00000000
5860,19241.213,00000000
5870,19241.262,00000000
5880,19244.721,00000000
5890,19255.877,00000000
5900,19248.041,00000000
5910,19246.215,00000000
5920,19244.465,00000000
5930,19223.861,00000000
5940,19240.828,00000000
5950,19248.412,00000000
5960,19251.557,00000000
5970,19242.234,00000000
5980,19251.340,00000000
5990,19243.588,00000000
6000,19241.342,00000000
6010,19224.756,00000000
6020,19241.107,00000000
6030,19242.676,00000000
6040,19241.258,00000000
6050,19236.879,00000000
6060,19231.730,00000000
6070,19243.664,00000000
6080,19239.371,00000000
6090,19233.988,00000000
6100,19224.977,00000000
6110,19233.150,00000000
6120,19223.850,00000000
6130,19223.068,00000000
6140,19223.662,00000000
6150,19215.527,00000000
6160,19220.664,00000000
6170,19225.684,00000000
6180,19236.096,00000000
6190,19227.322,00000000
6200,19231.398,00000000
6210,19238.133,00000000
6220,19248.775,00000000
6230,19244.061,00000000
6240,19232.973,00000000
6250,19233.566,00000000
6260,19227.102,00000000
6270,19225.896,00000000
6280,19230.727,00000000
6290,19215.412,00000000
6300,19224.953,00000000
6310,19234.527,00000000
6320,19245.430,00000000
6330,19230.148,00000000
6340,19237.977,00000000
6350,19225.998,00000000
6360,19226.717,00000000
6370,19227.697,00000000
6380,19230.986,00000000
6390,19215.148,00000000
6400,19231.865,00000000
6410,19229.516,00000000
6420,19230.799,00000000
6430,19226.668,00000000
6440,19226.186,00000000
6450,19231.336,00000000
6460,19228.824,00000000
6470,19226.143,00000000
6480,19225.963,00000000
6490,19231.570,00000000
6500,19224.428,00000000
6510,19228.758,00000000
6520,19230.533,00000000
6530,19222.697,00000000
6540,19224.793,00000000
6550,19213.391,00000000
6560,19212.813,00000000
6570,19225.906,00000000
6580,19213.963,00000000
6590,19210.578,00000000
6600,19214.785,00000000
6610,19228.836,00000000
6620,19213.061,00000000
6630,19225.488,00000000
6640,19218.570,00000000
6650,19220.340,00000000
6660,19222.723,00000000
6670,19226.846,00000000
6680,19226.184,00000000
6690,19224.598,00000000
6700,19213.518,00000000
